Time,Cup,Name,Height,Calc.,Flags
12:10,0,Carryover,215.5950012,0.008072268,
12:12,0,Carryover,55.09529877,0.005139022,
12:13,0,Baseline,0.000007629,0.004132194,BL 
12:14,1,Cal 0.00 ppm,-97.77709198,0.002345483,
12:15,1,Cal 0.00 ppm,-140.3102722,0.001568301,OL 
12:17,1,Cal 0.00 ppm,-75.59119415,0.002750882,
12:18,2,Cal 0.050 ppm,2477.825439,0.049451977,
12:19,2,Cal 0.050 ppm,2480.553711,0.049501926,
12:20,2,Cal 0.050 ppm,2508.193359,0.050007913,
12:22,3,Cal 0.1 ppm,4964.522461,0.095014758,
12:23,3,Cal 0.1 ppm,5070.197266,0.096952796,
12:24,3,Cal 0.1 ppm,4955.387207,0.094847232,
12:25,4,Cal 0.50 ppm,25982.27734,0.483345449,
12:27,4,Cal 0.50 ppm,28018.7207,0.521278441,OL 
12:28,4,Cal 0.50 ppm,26780.22461,0.498202443,
12:29,5,Cal 1.00 ppm,53679.61719,1.003913879,
12:30,5,Cal 1.00 ppm,53322.03906,0.997129261,
12:32,5,Cal 1.00 ppm,53495.50391,1.000420332,
12:33,6,Cal 5.00 ppm,251030.7969,5.003548622,
12:34,6,Cal 5.00 ppm,252230.4844,5.029420376,
12:35,6,Cal 5.00 ppm,249293.0313,4.966106892,
12:37,0,Blank,536.1810303,0.013932214,
12:38,0,Blank,47.28336334,0.004996262,
12:39,0,Read Baseline,0,0.004132194,BL 
12:40,7,ICV W 0.5 ppm,29917.7832,0.556701303,
12:42,0,Blank,49.39758301,0.005034898,
12:43,0,Read Baseline,0,0.004132194,BL 
12:44,11,DI,632.8207397,0.015698941,
12:45,12,52,2865.0354,0.056541357,
12:47,13,104,3099.452881,0.060834236,
12:48,14,58,2753.099609,0.05449174,
12:49,15,55,3188.59082,0.0624668,
12:50,16,116,3658.857666,0.071081489,
12:52,17,123,2893.101074,0.057055283,
12:53,18,95,3308.879883,0.064670071,
12:54,19,100,3825.913818,0.074142441,
12:55,0,Blank,1.329277277,0.004156485,
12:57,8,CCV W 0.5 ppm,26070.68359,0.484991074,
12:58,0,Blank,34.35029984,0.004759917,
12:59,0,Read Baseline,0,0.004132194,BL 
13:00,22,109,6265.408203,0.118882604,I 
13:02,23,43,8835.582031,0.166103616,I 
13:03,24,46,12085.19922,0.225931525,I 
13:04,25,107,9135.005859,0.17161046,I 
13:05,26,106,5866.474121,0.111560859,I 
13:07,27,117,6075.481934,0.115396574,I 
13:08,28,59,9390.384766,0.176308185,I 
13:09,29,101,7451.773926,0.140668601,I 
13:10,30,62,6775.52002,0.128247857,I 
13:12,31,96,7632.199219,0.143983483,I 
13:13,0,Blank,9.749772072,0.004310361,I 
13:14,9,CCV W 0.5 ppm,30087.58008,0.55987078,F 
13:15,0,Blank,52.79277039,0.005096944,
13:17,0,Read Baseline,0,0.004132194,BL 
13:18,32,112,2439.290771,0.04874656,I 
13:19,33,103,3444.287354,0.067150481,I 
13:20,34,49,3178.051758,0.062273771,I 
13:22,35,108,4589.857422,0.088144749,I 
13:23,36,44,3355.467285,0.065523431,I 
13:24,37,102,3281.631348,0.064170949,I 
13:25,38,98,12440.73828,0.232485637,I 
13:27,39,51,4591.004395,0.088165775,I 
13:28,40,111,4389.410156,0.084470011,I 
13:29,41,121,3453.489746,0.067319058,I 
13:30,0,Blank,0.329276294,0.004138211,I 
13:32,10,CCV W 0.5 ppm,27689.26758,0.51513803,
13:33,0,Blank,33.62025833,0.004746575,
13:34,0,Read Baseline,0,0.004132194,BL 
13:35,42,115,3521.747559,0.068569511,
13:37,43,57,3395.524414,0.066257201,
13:38,44,41,3298.502686,0.064479984,
13:39,45,60,3097.65625,0.060801331,
13:40,46,47,2866.817139,0.056573987,
13:42,47,99,2675.38208,0.053068779,
13:43,48,54,6635.300293,0.125673205,
13:44,49,124,5665.414551,0.10787154,
13:45,50,13,6838.711426,0.12940824,
13:47,51,45,6094.569336,0.1157469,
13:48,0,Blank,271.8658447,0.009100737,
13:49,8,CCV W 0.5 ppm,25516.13672,0.474670261,
13:50,0,Blank,-26.03513718,0.003656433,
13:52,0,Read Baseline,0,0.004132194,BL 
13:53,52,118,5165.250488,0.098696142,
13:54,53,97,5070.225586,0.096953318,
13:55,54,126,5282.941895,0.100854874,
13:57,55,61,5228.476563,0.099855833,
13:58,56,2,5990.08252,0.113829248,
13:59,57,50,5234.643555,0.099968947,
14:00,58,8,2951.798584,0.058130164,
14:02,59,15,4804.411621,0.092078671,
14:03,60,56,3429.65625,0.066882446,
14:04,61,53,3577.068604,0.069583006,
14:05,0,Blank,-10.8183775,0.0039345,
14:07,9,CCV W 0.5 ppm,25777.59961,0.479535878,
14:08,0,Blank,27.62700844,0.004637053,
14:09,0,Read Baseline,0,0.004132194,BL 
14:10,62,38,3292.379883,0.064367838,
14:12,63,200,4291.01416,0.082666345,
14:13,64,201,8834.664063,0.166086733,
14:14,65,1,39937.91406,0.744385958,
14:15,66,17,4964.566895,0.095015571,
14:17,67,42,4610.354492,0.088520542,
14:18,68,202,5363.969238,0.102341205,
14:19,69,203,2648.674561,0.052579794,
14:20,70,7,3081.858154,0.060511995,
14:22,71,204,4837.924805,0.092693202,
14:23,0,Blank,-20.08785248,0.003765112,
14:24,10,CCV W 0.5 ppm,26960.14844,0.501553595,
14:25,0,Blank,43.31042862,0.004923658,
14:27,0,Read Baseline,0,0.004132194,BL 
14:28,72,205,4375.319336,0.084211707,
14:29,73,206,4571.480469,0.087807827,
14:30,74,207,6969.467773,0.131809473,
14:32,75,208,18036.95117,0.335865855,
14:33,76,209,3226.142822,0.063154601,
14:34,77,210,4021.103027,0.077719338,
14:35,78,211,3458.623779,0.067413107,
14:37,79,212,4447.565918,0.085536107,
14:38,80,213,5758.96875,0.109588131,
14:39,81,214,5608.339844,0.106824361,
14:40,0,Blank,129.4701691,0.006498233,
14:42,8,CCV W 0.5 ppm,26544.60938,0.493814647,
14:43,0,Blank,81.85539246,0.005628058,
14:44,0,Read Baseline,0,0.004132194,BL 
14:45,82,186,3344.998047,0.06533166,
14:47,83,215,5931.967285,0.112762727,
14:48,84,216,3439.661865,0.067065738,
14:49,85,217,3017.911133,0.059340883,
14:50,86,218,2927.814209,0.057690952,
14:52,87,219,5735.972168,0.10916616,
14:53,0,Blank,-45.75780869,0.003296032,
14:54,9,CCV W 0.5 ppm,25268.6543,0.470065534,
14:55,0,Blank,10.15786076,0.004317818,
14:57,0,Read Baseline,0,0.004132194,BL 
14:58,1,0.00 ppm check,-112.1585464,0.002082697,I 
14:59,2,0.05 ppm check,2664.27002,0.05286533,I 
15:00,3,0.10 ppm check,5193.76709,0.099219188,I 
15:02,4,0.50 ppm check,27312.23047,0.50811249,I 
15:03,5,1.00 ppm check,52786.99609,0.986980677,I 
15:04,6,5.00 ppm check,260771.8125,5.214158058,I 
15:05,0,Blank,623.446106,0.015527554,I 
15:07,0,Blank,57.09054184,0.005175484,I 
15:08,10,CCV W 0.5 ppm,31160.09766,0.579899549,F 
15:09,0,Blank,85.12937164,0.00568789,
15:10,0,Read Baseline,0,0.004132194,BL 
